row_id,line_item,wk01,wk02,wk03,wk04,wk05,wk06,wk07,wk08,wk09,wk10,wk11,wk12,wk13,basis
R001,Beginning cash balance,515092.0,527954.54,540817.08,553679.62,566542.15,579404.69,592267.23,605129.77,617992.31,630854.85,643717.38,656579.92,669442.46,"FILED opening (FY2025 Part X), then DERIVED"
R002,Forecast inflow,273233.75,273233.75,273233.75,273233.75,273233.75,273233.75,273233.75,273233.75,273233.75,273233.75,273233.75,273233.75,273233.75,DERIVED (STRAIGHT-LINE 990 PROXY)
R003,Forecast expenses,260371.21,260371.21,260371.21,260371.21,260371.21,260371.21,260371.21,260371.21,260371.21,260371.21,260371.21,260371.21,260371.21,DERIVED (STRAIGHT-LINE 990 PROXY)
R004,Ending cash balance,527954.54,540817.08,553679.62,566542.15,579404.69,592267.23,605129.77,617992.31,630854.85,643717.38,656579.92,669442.46,682305.0,DERIVED (STRAIGHT-LINE 990 PROXY)
R005,Net change,12862.54,12862.54,12862.54,12862.54,12862.54,12862.54,12862.54,12862.54,12862.54,12862.54,12862.54,12862.54,12862.54,DERIVED (STRAIGHT-LINE 990 PROXY)
